Time,Driver,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,LapStartTime,LapStartDate,Position,Deleted
0 days 01:11:26.259000,LEC,0 days 00:01:24.846000,11.0,1.0,,,0 days 00:00:27.633000,0 days 00:00:28.951000,0 days 00:00:28.262000,0 days 01:10:29.035000,0 days 01:10:57.986000,0 days 01:11:26.248000,313.0,316.0,311.0,323.0,False,MEDIUM,11.0,True,0 days 01:10:01.413000,2024-09-01 13:17:45.332,2.0,False
0 days 01:12:51.175000,LEC,0 days 00:01:24.916000,12.0,1.0,,,0 days 00:00:27.680000,0 days 00:00:28.971000,0 days 00:00:28.265000,0 days 01:11:53.928000,0 days 01:12:22.899000,0 days 01:12:51.164000,312.0,316.0,311.0,321.0,False,MEDIUM,12.0,True,0 days 01:11:26.259000,2024-09-01 13:19:10.178,2.0,False
0 days 01:14:16.704000,LEC,0 days 00:01:25.529000,13.0,1.0,,,0 days 00:00:27.812000,0 days 00:00:29.177000,0 days 00:00:28.540000,0 days 01:13:18.976000,0 days 01:13:48.153000,0 days 01:14:16.693000,311.0,315.0,309.0,,False,MEDIUM,13.0,True,0 days 01:12:51.175000,2024-09-01 13:20:35.094,2.0,False
0 days 01:15:42.310000,LEC,0 days 00:01:25.606000,14.0,1.0,,,0 days 00:00:27.839000,0 days 00:00:29.217000,0 days 00:00:28.550000,0 days 01:14:44.532000,0 days 01:15:13.749000,0 days 01:15:42.299000,312.0,314.0,310.0,320.0,False,MEDIUM,14.0,True,0 days 01:14:16.704000,2024-09-01 13:22:00.623,2.0,False
0 days 01:17:12.502000,LEC,0 days 00:01:30.192000,15.0,1.0,,0 days 01:17:08.772000,0 days 00:00:28.034000,0 days 00:00:29.361000,0 days 00:00:32.797000,0 days 01:16:10.333000,0 days 01:16:39.694000,0 days 01:17:12.491000,,314.0,,318.0,False,MEDIUM,15.0,True,0 days 01:15:42.310000,2024-09-01 13:23:26.229,3.0,False
0 days 01:18:57.390000,LEC,0 days 00:01:44.888000,16.0,2.0,0 days 01:17:33.191000,,0 days 00:00:47.985000,0 days 00:00:28.750000,0 days 00:00:28.153000,0 days 01:18:00.476000,0 days 01:18:29.226000,0 days 01:18:57.379000,313.0,314.0,313.0,284.0,False,HARD,1.0,True,0 days 01:17:12.502000,2024-09-01 13:24:56.421,7.0,False
0 days 01:20:21.660000,LEC,0 days 00:01:24.270000,17.0,2.0,,,0 days 00:00:27.458000,0 days 00:00:28.730000,0 days 00:00:28.082000,0 days 01:19:24.837000,0 days 01:19:53.567000,0 days 01:20:21.649000,314.0,318.0,314.0,322.0,True,HARD,2.0,True,0 days 01:18:57.390000,2024-09-01 13:26:41.309,6.0,False
0 days 01:21:45.535000,LEC,0 days 00:01:23.875000,18.0,2.0,,,0 days 00:00:27.408000,0 days 00:00:28.571000,0 days 00:00:27.896000,0 days 01:20:49.057000,0 days 01:21:17.628000,0 days 01:21:45.524000,316.0,327.0,315.0,329.0,True,HARD,3.0,True,0 days 01:20:21.660000,2024-09-01 13:28:05.579,6.0,False
0 days 01:23:09.738000,LEC,0 days 00:01:24.203000,19.0,2.0,,,0 days 00:00:27.354000,0 days 00:00:28.722000,0 days 00:00:28.127000,0 days 01:22:12.878000,0 days 01:22:41.600000,0 days 01:23:09.727000,317.0,327.0,315.0,336.0,False,HARD,4.0,True,0 days 01:21:45.535000,2024-09-01 13:29:29.454,6.0,False
0 days 01:24:33.564000,LEC,0 days 00:01:23.826000,20.0,2.0,,,0 days 00:00:27.483000,0 days 00:00:28.623000,0 days 00:00:27.720000,0 days 01:23:37.210000,0 days 01:24:05.833000,0 days 01:24:33.553000,315.0,327.0,315.0,325.0,True,HARD,5.0,True,0 days 01:23:09.738000,2024-09-01 13:30:53.657,5.0,False
0 days 01:25:57.444000,LEC,0 days 00:01:23.880000,21.0,2.0,,,0 days 00:00:27.423000,0 days 00:00:28.725000,0 days 00:00:27.732000,0 days 01:25:00.976000,0 days 01:25:29.701000,0 days 01:25:57.433000,,318.0,315.0,335.0,False,HARD,6.0,True,0 days 01:24:33.564000,2024-09-01 13:32:17.483,5.0,False
0 days 01:27:21.212000,LEC,0 days 00:01:23.768000,22.0,2.0,,,0 days 00:00:27.358000,0 days 00:00:28.484000,0 days 00:00:27.926000,0 days 01:26:24.791000,0 days 01:26:53.275000,0 days 01:27:21.201000,316.0,328.0,316.0,327.0,True,HARD,7.0,True,0 days 01:25:57.444000,2024-09-01 13:33:41.363,5.0,False
0 days 01:28:45.076000,LEC,0 days 00:01:23.864000,23.0,2.0,,,0 days 00:00:27.438000,0 days 00:00:28.501000,0 days 00:00:27.925000,0 days 01:27:48.639000,0 days 01:28:17.140000,0 days 01:28:45.065000,318.0,319.0,315.0,326.0,False,HARD,8.0,True,0 days 01:27:21.212000,2024-09-01 13:35:05.131,3.0,False
0 days 01:30:08.716000,LEC,0 days 00:01:23.640000,24.0,2.0,,,0 days 00:00:27.347000,0 days 00:00:28.551000,0 days 00:00:27.742000,0 days 01:29:12.412000,0 days 01:29:40.963000,0 days 01:30:08.705000,317.0,319.0,315.0,327.0,True,HARD,9.0,True,0 days 01:28:45.076000,2024-09-01 13:36:28.995,3.0,False
0 days 01:31:32.306000,LEC,0 days 00:01:23.590000,25.0,2.0,,,0 days 00:00:27.380000,0 days 00:00:28.445000,0 days 00:00:27.765000,0 days 01:30:36.085000,0 days 01:31:04.530000,0 days 01:31:32.295000,316.0,319.0,314.0,326.0,True,HARD,10.0,True,0 days 01:30:08.716000,2024-09-01 13:37:52.635,3.0,False
0 days 01:32:55.627000,LEC,0 days 00:01:23.321000,26.0,2.0,,,0 days 00:00:27.356000,0 days 00:00:28.307000,0 days 00:00:27.658000,0 days 01:31:59.651000,0 days 01:32:27.958000,0 days 01:32:55.616000,,319.0,315.0,324.0,True,HARD,11.0,True,0 days 01:31:32.306000,2024-09-01 13:39:16.225,3.0,False
0 days 01:34:19.161000,LEC,0 days 00:01:23.534000,27.0,2.0,,,0 days 00:00:27.380000,0 days 00:00:28.412000,0 days 00:00:27.742000,0 days 01:33:22.996000,0 days 01:33:51.408000,0 days 01:34:19.150000,,319.0,315.0,325.0,False,HARD,12.0,True,0 days 01:32:55.627000,2024-09-01 13:40:39.546,3.0,False
0 days 01:35:42.445000,LEC,0 days 00:01:23.284000,28.0,2.0,,,0 days 00:00:27.337000,0 days 00:00:28.297000,0 days 00:00:27.650000,0 days 01:34:46.487000,0 days 01:35:14.784000,0 days 01:35:42.434000,317.0,320.0,315.0,326.0,True,HARD,13.0,True,0 days 01:34:19.161000,2024-09-01 13:42:03.080,3.0,False
0 days 01:37:05.674000,LEC,0 days 00:01:23.229000,29.0,2.0,,,0 days 00:00:27.336000,0 days 00:00:28.301000,0 days 00:00:27.592000,0 days 01:36:09.770000,0 days 01:36:38.071000,0 days 01:37:05.663000,,319.0,315.0,325.0,True,HARD,14.0,True,0 days 01:35:42.445000,2024-09-01 13:43:26.364,3.0,False
0 days 01:38:29.033000,LEC,0 days 00:01:23.359000,30.0,2.0,,,0 days 00:00:27.361000,0 days 00:00:28.259000,0 days 00:00:27.739000,0 days 01:37:33.024000,0 days 01:38:01.283000,0 days 01:38:29.022000,,320.0,314.0,,False,HARD,15.0,True,0 days 01:37:05.674000,2024-09-01 13:44:49.593,3.0,False
0 days 01:39:53.005000,LEC,0 days 00:01:23.972000,31.0,2.0,,,0 days 00:00:27.312000,0 days 00:00:28.740000,0 days 00:00:27.920000,0 days 01:38:56.334000,0 days 01:39:25.074000,0 days 01:39:52.994000,318.0,329.0,316.0,326.0,False,HARD,16.0,True,0 days 01:38:29.033000,2024-09-01 13:46:12.952,3.0,False
0 days 01:41:16.279000,LEC,0 days 00:01:23.274000,32.0,2.0,,,0 days 00:00:27.246000,0 days 00:00:28.382000,0 days 00:00:27.646000,0 days 01:40:20.240000,0 days 01:40:48.622000,0 days 01:41:16.268000,319.0,331.0,314.0,338.0,False,HARD,17.0,True,0 days 01:39:53.005000,2024-09-01 13:47:36.924,2.0,False
0 days 01:42:39.505000,LEC,0 days 00:01:23.226000,33.0,2.0,,,0 days 00:00:27.189000,0 days 00:00:28.364000,0 days 00:00:27.673000,0 days 01:41:43.457000,0 days 01:42:11.821000,0 days 01:42:39.494000,315.0,319.0,315.0,333.0,True,HARD,18.0,True,0 days 01:41:16.279000,2024-09-01 13:49:00.198,2.0,False
0 days 01:44:02.935000,LEC,0 days 00:01:23.430000,34.0,2.0,,,0 days 00:00:27.324000,0 days 00:00:28.408000,0 days 00:00:27.698000,0 days 01:43:06.818000,0 days 01:43:35.226000,0 days 01:44:02.924000,316.0,320.0,315.0,325.0,False,HARD,19.0,True,0 days 01:42:39.505000,2024-09-01 13:50:23.424,2.0,False
0 days 01:45:26.616000,LEC,0 days 00:01:23.681000,35.0,2.0,,,0 days 00:00:27.393000,0 days 00:00:28.512000,0 days 00:00:27.776000,0 days 01:44:30.317000,0 days 01:44:58.829000,0 days 01:45:26.605000,,319.0,314.0,,False,HARD,20.0,True,0 days 01:44:02.935000,2024-09-01 13:51:46.854,2.0,False
0 days 01:46:50.330000,LEC,0 days 00:01:23.714000,36.0,2.0,,,0 days 00:00:27.310000,0 days 00:00:28.493000,0 days 00:00:27.911000,0 days 01:45:53.915000,0 days 01:46:22.408000,0 days 01:46:50.319000,318.0,321.0,313.0,,False,HARD,21.0,True,0 days 01:45:26.616000,2024-09-01 13:53:10.535,2.0,False
0 days 01:48:13.880000,LEC,0 days 00:01:23.550000,37.0,2.0,,,0 days 00:00:27.279000,0 days 00:00:28.457000,0 days 00:00:27.814000,0 days 01:47:17.598000,0 days 01:47:46.055000,0 days 01:48:13.869000,316.0,319.0,314.0,335.0,False,HARD,22.0,True,0 days 01:46:50.330000,2024-09-01 13:54:34.249,2.0,False
0 days 01:49:37.504000,LEC,0 days 00:01:23.624000,38.0,2.0,,,0 days 00:00:27.372000,0 days 00:00:28.466000,0 days 00:00:27.786000,0 days 01:48:41.241000,0 days 01:49:09.707000,0 days 01:49:37.493000,318.0,320.0,313.0,325.0,False,HARD,23.0,True,0 days 01:48:13.880000,2024-09-01 13:55:57.799,2.0,False
0 days 01:51:01.222000,LEC,0 days 00:01:23.718000,39.0,2.0,,,0 days 00:00:27.448000,0 days 00:00:28.564000,0 days 00:00:27.706000,0 days 01:50:04.941000,0 days 01:50:33.505000,0 days 01:51:01.211000,,327.0,313.0,,False,HARD,24.0,True,0 days 01:49:37.504000,2024-09-01 13:57:21.423,1.0,False
0 days 01:52:24.912000,LEC,0 days 00:01:23.690000,40.0,2.0,,,0 days 00:00:27.399000,0 days 00:00:28.465000,0 days 00:00:27.826000,0 days 01:51:28.610000,0 days 01:51:57.075000,0 days 01:52:24.901000,315.0,318.0,313.0,322.0,False,HARD,25.0,True,0 days 01:51:01.222000,2024-09-01 13:58:45.141,1.0,False
0 days 01:53:48.523000,LEC,0 days 00:01:23.611000,41.0,2.0,,,0 days 00:00:27.372000,0 days 00:00:28.440000,0 days 00:00:27.799000,0 days 01:52:52.273000,0 days 01:53:20.713000,0 days 01:53:48.512000,,318.0,314.0,,False,HARD,26.0,True,0 days 01:52:24.912000,2024-09-01 14:00:08.831,1.0,False
0 days 01:55:12.193000,LEC,0 days 00:01:23.670000,42.0,2.0,,,0 days 00:00:27.424000,0 days 00:00:28.458000,0 days 00:00:27.788000,0 days 01:54:15.936000,0 days 01:54:44.394000,0 days 01:55:12.182000,316.0,319.0,314.0,323.0,False,HARD,27.0,True,0 days 01:53:48.523000,2024-09-01 14:01:32.442,1.0,False
0 days 01:56:36.060000,LEC,0 days 00:01:23.867000,43.0,2.0,,,0 days 00:00:27.382000,0 days 00:00:28.558000,0 days 00:00:27.927000,0 days 01:55:39.564000,0 days 01:56:08.122000,0 days 01:56:36.049000,318.0,321.0,314.0,324.0,False,HARD,28.0,True,0 days 01:55:12.193000,2024-09-01 14:02:56.112,1.0,False
0 days 01:57:59.490000,LEC,0 days 00:01:23.430000,44.0,2.0,,,0 days 00:00:27.386000,0 days 00:00:28.395000,0 days 00:00:27.649000,0 days 01:57:03.435000,0 days 01:57:31.830000,0 days 01:57:59.479000,315.0,317.0,314.0,323.0,False,HARD,29.0,True,0 days 01:56:36.060000,2024-09-01 14:04:19.979,1.0,False
0 days 01:59:23.221000,LEC,0 days 00:01:23.731000,45.0,2.0,,,0 days 00:00:27.507000,0 days 00:00:28.427000,0 days 00:00:27.797000,0 days 01:58:26.986000,0 days 01:58:55.413000,0 days 01:59:23.210000,313.0,315.0,314.0,320.0,False,HARD,30.0,True,0 days 01:57:59.490000,2024-09-01 14:05:43.409,1.0,False
0 days 02:00:46.818000,LEC,0 days 00:01:23.597000,46.0,2.0,,,0 days 00:00:27.539000,0 days 00:00:28.364000,0 days 00:00:27.694000,0 days 01:59:50.749000,0 days 02:00:19.113000,0 days 02:00:46.807000,316.0,319.0,314.0,323.0,False,HARD,31.0,True,0 days 01:59:23.221000,2024-09-01 14:07:07.140,1.0,False
0 days 02:02:10.494000,LEC,0 days 00:01:23.676000,47.0,2.0,,,0 days 00:00:27.509000,0 days 00:00:28.426000,0 days 00:00:27.741000,0 days 02:01:14.316000,0 days 02:01:42.742000,0 days 02:02:10.483000,314.0,316.0,314.0,321.0,False,HARD,32.0,True,0 days 02:00:46.818000,2024-09-01 14:08:30.737,1.0,False
0 days 02:03:34.012000,LEC,0 days 00:01:23.518000,48.0,2.0,,,0 days 00:00:27.502000,0 days 00:00:28.365000,0 days 00:00:27.651000,0 days 02:02:37.985000,0 days 02:03:06.350000,0 days 02:03:34.001000,,318.0,316.0,322.0,False,HARD,33.0,True,0 days 02:02:10.494000,2024-09-01 14:09:54.413,1.0,False
0 days 02:04:57.479000,LEC,0 days 00:01:23.467000,49.0,2.0,,,0 days 00:00:27.457000,0 days 00:00:28.319000,0 days 00:00:27.691000,0 days 02:04:01.458000,0 days 02:04:29.777000,0 days 02:04:57.468000,316.0,317.0,316.0,,False,HARD,34.0,True,0 days 02:03:34.012000,2024-09-01 14:11:17.931,1.0,False
0 days 02:06:20.940000,LEC,0 days 00:01:23.461000,50.0,2.0,,,0 days 00:00:27.425000,0 days 00:00:28.336000,0 days 00:00:27.700000,0 days 02:05:24.893000,0 days 02:05:53.229000,0 days 02:06:20.929000,,318.0,316.0,,False,HARD,35.0,True,0 days 02:04:57.479000,2024-09-01 14:12:41.398,1.0,False
0 days 02:07:44.495000,LEC,0 days 00:01:23.555000,51.0,2.0,,,0 days 00:00:27.432000,0 days 00:00:28.386000,0 days 00:00:27.737000,0 days 02:06:48.361000,0 days 02:07:16.747000,0 days 02:07:44.484000,318.0,320.0,316.0,323.0,False,HARD,36.0,True,0 days 02:06:20.940000,2024-09-01 14:14:04.859,1.0,False
0 days 02:09:08.245000,LEC,0 days 00:01:23.750000,52.0,2.0,,,0 days 00:00:27.432000,0 days 00:00:28.471000,0 days 00:00:27.847000,,0 days 02:08:40.387000,0 days 02:09:08.234000,319.0,321.0,316.0,324.0,False,HARD,37.0,True,0 days 02:07:44.495000,2024-09-01 14:15:28.414,1.0,False
0 days 02:10:31.513000,LEC,0 days 00:01:23.268000,53.0,2.0,,,0 days 00:00:27.285000,0 days 00:00:28.302000,0 days 00:00:27.681000,0 days 02:09:35.519000,0 days 02:10:03.821000,0 days 02:10:31.502000,324.0,326.0,316.0,329.0,False,HARD,38.0,True,0 days 02:09:08.245000,2024-09-01 14:16:52.164,1.0,False
